from,to,dt,duration,dropped
3172005440,8491420706,7/14/2013 9:46,1,0
3172005440,7465444320,9/17/2013 23:54,12,0
3172005440,2337161985,1/17/2013 0:42,11,0
3172005440,7773634206,1/11/2013 15:40,19,0
3172005440,7655655199,10/3/2013 9:58,1,1
3172005440,7655655199,12/25/2013 17:25,11,0
3172005440,7776001783,4/17/2013 15:07,2,0
3172005440,7616820598,5/25/2013 20:01,10,1
3172005440,4557385201,8/11/2013 17:44,8,0
3172005440,6734857283,6/3/2013 15:16,13,1
3172005440,7931704466,12/23/2013 12:54,15,1
3172005440,8446777084,11/5/2013 12:45,9,0
3172005440,4811917873,7/8/2013 7:01,6,0
3172005440,8306378333,1/29/2013 13:32,2,1
3172005440,5997628074,1/13/2013 21:40,1,0
3172005440,1855544515,1/24/2013 8:14,8,1
3172005440,7343483490,5/28/2013 12:39,1,0
3172005440,6185638432,6/5/2013 8:09,23,0
3172005440,3997244234,9/28/2013 8:04,7,0
3172005440,5886845068,5/7/2013 22:47,3,0
3172005440,9813612046,7/11/2013 23:12,10,0
3172005440,6536347135,3/3/2013 12:45,17,0
3172005440,6715509199,9/17/2013 20:01,22,1
3172005440,9568633933,5/27/2013 17:31,17,0
3172005440,6715509199,9/12/2013 17:30,9,0
3172005440,9961538236,11/23/2013 17:41,12,0
3172005440,9813612046,10/25/2013 17:37,13,0
3172005440,5997628074,3/23/2013 14:30,4,0
3172005440,7277399505,10/28/2013 23:47,9,0
3172005440,8617806776,6/16/2013 13:29,7,0
3172005440,4557385201,5/1/2013 6:57,1,0
3172005440,4919679008,4/26/2013 14:32,5,1
3172005440,8306378333,2/23/2013 13:45,1,0
3172005440,8056037100,5/9/2013 14:45,13,0
3172005440,8004558038,12/11/2013 19:38,10,0
3172005440,6298232068,6/13/2013 9:37,3,0
3172005440,9751794476,1/17/2013 23:27,3,0
3172005440,2813421420,9/21/2013 13:05,15,0
3172005440,7776001783,12/6/2013 9:23,3,0
3172005440,6339055047,12/20/2013 18:17,7,0
